date,partner_id,venue_id,access_distribution,venue_type,is_revolving
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a086a1a759920cc3f8c35,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0995221b9d3eb7589ec2,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0fa218b12f5e2b13c422,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0ff925925f583368ab78,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a173aa23b7531226123a2,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a17ebfdf90e4e366bd302,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a18907bda34429747b7d6,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a3b6c4215be5d1a744685,across-locations,gym,false
2024-10-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,635f9a728ef3ac05540086d2,across-locations,gym,false
2024-10-26,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
2024-11-01,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
2024-11-02,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-11-11,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
2024-11-17,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-11-21,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddbea6697792037533e002,across-locations,beach club,true
2024-11-21,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddb8f1ee1b106361367a62,across-locations,hotel,true
2024-11-23,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-28,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-12-15,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-12-18,bc27a36e-a3fb-4910-a581-58bcc504994c,652fd1f0d49ef63a477192f2,across-locations,beach club,true
2024-12-31,09e7e8d5-f4a6-4190-8260-ebf4879dc8ad,5e5b9f3d25e43a4365436fd0,across-locations,hotel,true
2024-10-01,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-10-02,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-10-04,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-10-07,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-10-07,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca21027586c968a13385e2,per-venue,beach club,true
2024-10-07,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca20d71792c11020139712,per-venue,hotel,true
2024-10-26,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-10-29,1729242e-42cb-4b83-a023-9736b7557c35,5e5b9f4025e43a4365436ff6,across-locations,gym,false
2024-12-05,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-12-18,1729242e-42cb-4b83-a023-9736b7557c35,5e5b9f4025e43a4365436ff6,across-locations,gym,false
2024-12-20,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-12-30,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-10-06,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-10-23,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-11-05,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddbea6697792037533e002,across-locations,beach club,true
2024-11-05,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddb8f1ee1b106361367a62,across-locations,hotel,true
2024-11-09,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca21027586c968a13385e2,per-venue,beach club,true
2024-11-09,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca20d71792c11020139712,per-venue,hotel,true
2024-11-11,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-11-14,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-20,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-28,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddbea6697792037533e002,across-locations,beach club,true
2024-11-28,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddb8f1ee1b106361367a62,across-locations,hotel,true
2024-12-15,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-12-15,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
2024-12-19,1729242e-42cb-4b83-a023-9736b7557c35,5e5b9f4025e43a4365436ff6,across-locations,gym,false
2024-12-23,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-12-25,09e7e8d5-f4a6-4190-8260-ebf4879dc8ad,5e5b9f3d25e43a4365436fd0,across-locations,hotel,true
2024-12-26,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-03,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddbea6697792037533e002,across-locations,beach club,true
2024-11-03,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddb8f1ee1b106361367a62,across-locations,hotel,true
2024-11-06,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-07,ed90feb7-d769-4a9f-b65c-115b5a962dc9,5e5b9f4025e43a4365436ff5,across-locations,hotel,true
2024-11-10,bc27a36e-a3fb-4910-a581-58bcc504994c,652fd1f0d49ef63a477192f2,across-locations,beach club,true
2024-11-28,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca21027586c968a13385e2,per-venue,beach club,true
2024-11-28,ca86d603-ca9d-4550-8cf6-a745bd80baa3,64ca20d71792c11020139712,per-venue,hotel,true
2024-11-30,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-12-04,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
